key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
up,0,-2,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-5,,,,,1
down,0,0,,,1,,
up,1,0,,1,,,
down,1,-4,,,,,1
down,1,-3,,,,,1
up,1,0,,1,,,
up,0,-3,,,,1,
,,,,,,,
,,,Sum,4,1,2,3
,,,,,,,
,Signal\Response,Response Yes,Response No,,Proportion hit,hit/hit+miss,0.8
,Signal Present,Hit,Miss (Type II error),,Proportion fa,fa/fa+cr,0.4
,Signal Absent,False Alarm,Correct Rejection,,,,
,,(Type-I error),,,d-prime,z(prop hit) - z(prop fa),1.094968337
,,,,,c,c=-(z(prop hit) + z(prop fa)/2),-0.714947682
,Signal\Response,Response Yes,Response No,,,,
,Signal Present,4,1,,,,
,Signal Absent,2,3,,,,
,,,,,,,
